,track_uri,artist_uri,genres
44,5ZQFP6rsYhNaFuQNaoTzgV,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
45,7lPN2DXiMsVn7XUKtOW1CS,1McMsnEElThX1knmY4oliG,['pop']
46,6RTF5urAOB5C52nLxeRK5h,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
47,3kHTeY85lTphKnBVXdX1Tz,68KmkJeZGfwe1OUaivBa2L,"['k-pop', 'k-pop boy group']"
48,3P3UA61WRQqwCXaoFOTENd,3HqSLMAZ3g3d5poNaI7GOU,"['k-pop', 'pop']"
49,0HaRLPnr887lcQM2YQzkff,3wcj11K77LjEY1PkEazffa,"['afrobeats', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
50,22ryCgQttpV7oCrn7llGRu,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
51,3ZCTVFBt2Brf31RLEnCkWJ,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'electropop', 'pop']"
52,2kyVQg00pphEufGT59M2XH,1eEfMU2AhEo7XnKgL7c304,"['adult standards', 'mellow gold', 'soft rock']"
53,0BiJCg7FLwWGTYLEsnaHcz,3qNVuliS40BLgXGxhdBdqu,['k-pop']
54,7BpqydHSxMviDR0DNTne6J,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']"
55,4mQMvcRtQou5yI8mjuJ1lf,1kfWoWgCugPkyxQP8lkRlY,['k-pop']
56,7ILEWkpfdK6AjH2D7jppWk,7bXgB6jMjp9ATFy66eO08Z,"['r&b', 'rap']"
57,0LqCvXVNvcnkq78sCQsoO0,3pc0bOVB5whxmD50W79wwO,['chill r&b']
58,6IF2P93LkyW4GqDQu1yS7H,6zDFhpdu4WUVVGTz0JSLMh,"['acoustic pop', 'oth indie']"
59,39HrUxcvKF3jtLz7fUDWXc,7lbSsjYACZHn1MSDXPxNF2,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']"
60,1MmSeZ1Q4yd3LoZv7RXmWe,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
61,3JaMGQXJmtbAhvgl0nBPPN,0Sadg1vgvaPqGTOjxu0N6c,"['k-pop', 'k-pop girl group']"
62,4TPXKIuXg411bVMZPZdYZl,2hcsKca6hCfFMwwdbFvenJ,"['k-pop', 'k-pop boy group']"
63,26wLOs3ZuHJa2Ihhx6QIE6,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'pop']"
64,27r2uANqwK7XbsiAZnzf9e,45dkTj5sMRSjrmBSBeiHym,"['alt z', 'pop']"
65,2xj3BQ7AzGTwUWaroRTVCx,2jnIB6XdLvnJUeNTy5A0J2,"['boy band', 'pop']"
66,2i1Obkaku5RnCjxDIk7DzI,5na1LmEmK2VzNLje9snJYW,"['k-pop', 'k-pop boy group']"
67,4s0dJmVknlUl7V6oK3puzZ,5TnQc2N1iKlFjYD7CPGvFc,"['k-pop', 'k-pop boy group']"
68,4waCie3uzBtvA4wk0X9LHU,6Uug3azJYNwnLkO82CTTY2,['korean pop']
69,3YuaBvuZqcwN3CEAyyoaei,2ziB7fzrXBoh1HUPS6sVFn,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
70,7oQh96s9YemWG3A4zkIbrU,6MoXcK2GyGg7FIyxPU5yW6,['k-pop']
71,7xpraKSakDJ6WWgjQEtvgT,3ao3jf5d70Tf4fPh2bnXVl,"['neon pop punk', 'piano rock', 'pop punk']"
72,2r1T6xGTVaNAqBoPH4lZEE,77AiFEVeAVj2ORpC85QVJs,"['edm', 'electro house', 'pop dance']"
73,1sTtlEZeVeeEnxEztJNkYN,3gIRvgZssIb9aiirIg0nI3,"['alt z', 'electropop', 'pop']"
74,3NxuezMdSLgt4OwHzBoUhL,72nLe76yBFSlP6VBzME358,['k-pop']
75,01Dc5vTMc9axpkvDUy0yiD,5sXaGoRLSpd7VeyZrLkKwt,"['indie folk', 'pop folk', 'stomp and flutter', 'stomp and holler']"
76,68kHuoBxtNcWZWxBu1V007,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
77,1Bsn3jSsYPVlzpHO3p1j7q,6f0OZUaCvSTfnaZ4zbpniy,['assamese pop']
78,1UbXXZMnlsyfZ5ziKNxJ7y,1sgkTCF42JGJUIaBP68n6H,['classic korean pop']
79,7AvXrOVEVRcfXxme2wo6Im,1z4g3DjTBBZKhvAroFlhOM,"['k-pop', 'k-pop girl group']"
80,1vfhrect7qjfgjb9BG2BeZ,1BhWF9W2PngtPSyobKg0rP,"['dance pop', 'pop', 'post-teen pop']"
81,4d5nIJDm92XcbBHVXxjpWI,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
82,3omvXShuRPM3zbDpWYqf5g,7n2Ycct7Beij7Dj7meI4X0,"['k-pop', 'k-pop girl group', 'pop']"
83,4OBZT9EnhYIV17t4pGw7ig,20wkVLutqVOYrc0kxFs7rA,['canadian contemporary r&b']
84,7dlNGfd6Fq8xcFb4K6Glws,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
85,6lWicdbY0xMkeLxYeswFxL,4DqFd6XE3dX4LWXHJVVpLk,[]
86,01aVuBzov1TL2iCNhwkguC,7nqOGRxlXj7N2JYbgNEjYH,"['k-pop', 'k-pop boy group']"
